Evaluate/discounted_episode_lengths,Evaluate/discounted_episode_returns,Evaluate/episode_lengths,Evaluate/episode_returns,Evaluate/iter,TRPO/cg_residual,TRPO/dist_mean,TRPO/dist_std,TRPO/fps,TRPO/grad_norm,TRPO/iter,TRPO/mse_loss,TRPO/nat_grad_norm,TRPO/reward,TRPO/step_size,TRPO/vf_loss,Discriminator/fake_logits,Discriminator/fake_prob,Discriminator/grad_norm,Discriminator/grad_penalty,Discriminator/iter,Discriminator/loss,Discriminator/regularization,Discriminator/true_logits,Discriminator/true_prob
,,,,,6.7921173e-06,-0.024026114,1.0042826,2,0.2557603,9000,0.9950678,0.59703106,4.076267941854894e-08,0.42602579577721456,1.0426992,,,,,,,,,
,,,,,2.880983e-06,-0.027661575,1.0013819,2,0.29104957,10000,0.94229126,0.5549575,-3.9070208003977315e-08,0.41273118356081956,1.8328725,,,,,,,,,
,,,,,,,,,,,,,,,,0.5551815,0.6120663,88.68105,2.463802,10000,2.6529703,0.0,0.36601335,0.59001243
1000,-4.465592894728288,1000,-6.871601971593728,10000,,,,,,,,,,,,,,,,,,,,
,,,,,1.2553848e-05,-0.026018173,1.0014563,3,0.34058526,11000,0.96288246,0.82363755,-1.9001065084012225e-08,0.3186787844688483,0.42623907,,,,,,,,,
,,,,,7.1234085e-06,-0.041002814,1.0009664,3,0.31333372,12000,1.0847884,0.63119507,-5.1071066991426054e-08,0.37471822957303,0.23034577,,,,,,,,,
,,,,,1.5661227e-06,-0.042659845,1.0019472,3,0.29318824,13000,1.1234704,0.5888969,-2.0741390471812337e-09,0.40301173898120385,0.2669185,,,,,,,,,
,,,,,3.5957302e-05,-0.066036664,0.9986073,2,0.31887943,14000,1.141205,0.53159195,1.7993617802858352e-08,0.42038966584033466,1.0967126,,,,,,,,,
,,,,,6.72292e-06,-0.032040384,1.0014637,2,0.335176,15000,1.1983517,0.5151386,1.659925328567624e-08,0.41807896757193524,0.29362237,,,,,,,,,
,,,,,,,,,,,,,,,,-2.5229192,0.09602065,51.44572,2.054499,15000,-0.84066695,0.0,0.37224653,0.59141564
1000,-40.29735192892558,1000,-60.81785642806388,15000,,,,,,,,,,,,,,,,,,,,
,,,,,0.0005805257,-0.086418435,1.0040889,3,0.36469665,16000,1.2405834,0.6200694,2.3620481442776508e-08,0.36778327895270785,1.8560398,,,,,,,,,
,,,,,7.584207e-06,-0.03645915,1.0078735,3,0.33464944,17000,1.1828254,0.6940803,-5.8031044318340716e-08,0.3407108329864773,0.65508276,,,,,,,,,
,,,,,1.0955238e-05,-0.055944428,1.0092101,3,0.3335899,18000,1.1186831,0.6109884,-2.6708155928645283e-08,0.3795827127650449,1.8232437,,,,,,,,,
,,,,,1.33520125e-05,-0.028860195,1.0099915,2,0.35545522,19000,1.1196538,0.8006233,3.374800871824846e-08,0.2980345717486449,1.4517785,,,,,,,,,
,,,,,1.5870944e-05,-0.07334635,1.0084745,2,0.3100558,20000,1.1207231,0.60348547,1.543539110571146e-08,0.4160350069024448,3.8327732,,,,,,,,,
,,,,,,,,,,,,,,,,-1.6945646,0.2288058,27.356892,1.6424769,20000,-0.5113019,0.0,0.45921412,0.6119413
1000,-15.59671466755909,1000,-25.338628375735514,20000,,,,,,,,,,,,,,,,,,,,
,,,,,1.0929346e-05,-0.03014153,1.0128361,3,0.3147947,21000,1.0922166,0.58947307,-9.057170245796442e-09,0.39206628055685644,2.0584729,,,,,,,,,
,,,,,1.1657365e-05,-0.06994806,1.0152293,3,0.31107238,22000,1.1281322,0.59943056,1.9854633137583734e-08,0.4035117937320701,4.8085,,,,,,,,,
,,,,,2.9785142e-05,-0.017425202,1.0155147,3,0.32898366,23000,1.0657327,0.7889469,7.97103057266213e-08,0.3397955511480004,1.1725118,,,,,,,,,
,,,,,1.0254605e-05,-0.06620047,1.0165542,2,0.32031298,24000,1.0828754,0.5249897,9.948154911398887e-09,0.42070390065296515,3.5570753,,,,,,,,,
,,,,,5.695016e-05,-0.07938574,1.0126072,2,0.39701256,25000,1.0767177,0.5751885,7.367989383055828e-09,0.3857564143913275,7.088569,,,,,,,,,
,,,,,,,,,,,,,,,,-1.2453052,0.28721443,20.075745,1.2794198,25000,-0.4800002,0.0,0.51411474,0.6245547
1000,-35.30496568466499,1000,-56.83725960335985,25000,,,,,,,,,,,,,,,,,,,,
,,,,,2.544883e-05,-0.03694095,1.0159906,3,0.34859765,26000,1.1095561,0.67773014,1.8859755073208362e-08,0.36241611395811807,4.8016357,,,,,,,,,
,,,,,0.00015667148,-0.11699908,1.0129831,3,0.37499312,27000,1.1774057,0.58938766,2.9158894903957845e-08,0.3763892973083363,9.84448,,,,,,,,,
,,,,,0.00040675854,-0.11071641,1.0161636,3,0.29215094,28000,1.0980638,0.5508118,8.949868060881272e-09,0.44360654909895575,3.4319024,,,,,,,,,
,,,,,0.00037983424,-0.12378174,1.0146905,3,0.30544284,29000,1.0941631,0.5759257,8.124625310301781e-10,0.4316997129492909,5.0379305,,,,,,,,,
,,,,,2.1106229e-05,-0.007041588,1.0192387,2,0.3410906,30000,1.0909349,0.61422646,-7.678734982619062e-08,0.37851615608988814,3.3210332,,,,,,,,,
,,,,,,,,,,,,,,,,-2.5948973,0.089869566,25.568123,1.2411382,30000,-1.9314957,0.0,0.5777369,0.6390082
1000,10.576034713178059,1000,17.02512087819999,30000,,,,,,,,,,,,,,,,,,,,
,,,,,6.615892e-06,-0.014964597,1.0269916,3,0.32662684,31000,1.1227396,0.5776934,-6.59258512314409e-09,0.3901010985015653,3.1838725,,,,,,,,,
,,,,,4.0097757e-06,-0.033031836,1.0268688,3,0.3140408,32000,1.0808648,0.568464,-4.9868162022903565e-08,0.4238751341161452,5.5782156,,,,,,,,,
,,,,,0.00019995944,-0.09918427,1.0288576,3,0.3678498,33000,1.1236461,0.5713978,1.6801059246063233e-09,0.4057567412388904,4.8227596,,,,,,,,,
,,,,,0.0004363401,-0.051005352,1.0301851,2,0.36928326,34000,1.0946517,0.64295316,5.917230737395585e-09,0.38050690699982875,2.0686948,,,,,,,,,
,,,,,8.419689e-05,-0.08970433,1.0241369,2,0.32976162,35000,1.1486517,0.575037,1.8436694517731666e-09,0.4111536010551924,3.7126684,,,,,,,,,
,,,,,,,,,,,,,,,,-0.7666659,0.34303686,30.259827,1.4084094,35000,0.024328161,0.0,0.6174153,0.64781696
1000,96.10855691128866,1000,162.1925894694882,35000,,,,,,,,,,,,,,,,,,,,
,,,,,8.947163e-06,-0.027058309,1.0271786,3,0.32255784,36000,1.1757942,0.56431776,1.6019679605960846e-08,0.4139979204395282,2.6562016,,,,,,,,,
,,,,,0.0005778695,-0.052394673,1.0253898,3,0.38104615,37000,1.2620515,0.7171504,1.3607670553028583e-08,0.3378176068888018,1.4240272,,,,,,,,,
,,,,,3.6712976e-05,0.0201466,1.0313779,3,0.3741277,38000,1.2819911,0.7603089,1.2072414392605424e-08,0.3179133500213147,2.1473897,,,,,,,,,
,,,,,6.708766e-05,0.028493464,1.0295396,3,0.40235808,39000,1.2558049,0.77449226,-3.379900590516627e-08,0.3127406725119803,0.66077155,,,,,,,,,
,,,,,2.6000607e-05,-0.05074588,1.0328531,2,0.35534123,40000,1.2950436,0.59852856,2.1635089069604873e-08,0.39320686260781196,2.5835614,,,,,,,,,
,,,,,,,,,,,,,,,,-1.8404845,0.19891268,21.97183,1.3343254,40000,-1.1525422,0.0,0.6463833,0.6536747
1000,223.89414813380145,1000,356.5228855505342,40000,,,,,,,,,,,,,,,,,,,,
,,,,,3.316246e-05,-0.024467519,1.0383937,3,0.33927384,41000,1.390576,0.6238897,-1.4815392205491662e-08,0.388258960054514,5.7357354,,,,,,,,,
,,,,,4.0851715e-05,-0.052562255,1.038424,2,0.3112979,42000,1.4081177,0.59896,4.098925273865461e-09,0.41482079694304097,9.199683,,,,,,,,,
,,,,,1.2554745e-05,-0.013189417,1.0333667,2,0.27860254,43000,1.4938397,0.54675883,4.872516728937626e-08,0.4816463582100258,4.020313,,,,,,,,,
,,,,,0.0010528088,0.016951619,1.0367432,2,0.30490756,44000,1.5395404,0.6305173,3.359297261340544e-08,0.40011450198528176,2.4583619,,,,,,,,,
,,,,,1.9930236e-05,0.023659687,1.0340185,2,0.3536916,45000,1.5703125,0.68472034,6.346066948026419e-08,0.3759421765768326,6.1691008,,,,,,,,,
,,,,,,,,,,,,,,,,-2.6491575,0.10908859,20.368347,1.1765188,45000,-2.2015927,0.0,0.7289539,0.6714153
1000,194.86343706816575,1000,306.8668400134376,45000,,,,,,,,,,,,,,,,,,,,
,,,,,5.3696152e-05,-0.05483104,1.0310583,3,0.32442406,46000,1.6330253,0.5765894,3.5171862691640857e-08,0.4249751300438344,8.319701,,,,,,,,,
,,,,,0.0010648866,-0.036905006,1.0384804,3,0.3710307,47000,1.7710856,0.69750774,2.0356630557216703e-08,0.33828528966802796,2.8471367,,,,,,,,,
,,,,,7.0198716e-05,-0.05288077,1.0382445,2,0.35766256,48000,1.8223804,0.62005824,3.924313932657242e-08,0.3957288904218265,1.4428833,,,,,,,,,
,,,,,3.0031977e-05,0.043647546,1.0404209,2,0.3275054,49000,1.8796469,0.6236812,8.190154039766639e-08,0.3895157675897458,2.171487,,,,,,,,,
,,,,,2.2737768e-05,0.022841128,1.0383629,2,0.32551318,50000,1.7930465,0.61223465,2.644688356667757e-08,0.4128879378518946,3.1236205,,,,,,,,,
,,,,,,,,,,,,,,,,-2.7353783,0.112360045,15.293244,0.9944199,50000,-2.561902,0.0,0.82094365,0.6908112
1000,-5.455908177018496,1000,-10.515779395103507,50000,,,,,,,,,,,,,,,,,,,,
,,,,,9.2028684e-05,-0.014336085,1.0385371,3,0.4315713,51000,1.870772,0.6731183,1.184362918138504e-08,0.344538391159389,5.645786,,,,,,,,,
,,,,,2.3872439e-05,0.033471104,1.0476409,3,0.3673661,52000,1.8889737,0.7517927,4.655960947275162e-08,0.33804568662022894,8.312581,,,,,,,,,
,,,,,0.00020626285,0.03231302,1.0493551,2,0.39052093,53000,1.9585196,0.6818989,-2.5669261958682908e-08,0.3455719303177621,1.6635088,,,,,,,,,
,,,,,0.00029085984,0.02983485,1.050286,2,0.33992893,54000,2.163022,0.62498236,-4.624141729436815e-08,0.37277576600015333,1.280963,,,,,,,,,
,,,,,5.4315875e-05,-0.029987145,1.0507768,2,0.37226582,55000,2.0449731,0.59275234,1.880386844277382e-08,0.4060453546897166,2.911811,,,,,,,,,
,,,,,,,,,,,,,,,,-1.8245796,0.18360832,18.994974,1.1853398,55000,-1.5894578,0.0,0.9502181,0.71624243
1000,-16.315451588341876,1000,-24.95819478168213,55000,,,,,,,,,,,,,,,,,,,,
,,,,,0.00080044795,-0.065829486,1.0503337,3,0.3944183,56000,2.2479475,0.78102773,-2.220892929472029e-08,0.3530429447436714,4.7005343,,,,,,,,,
,,,,,0.00016205086,0.045148805,1.0528038,3,0.3908211,57000,2.225053,0.7675716,1.021241769194603e-08,0.319711718154813,2.711362,,,,,,,,,
,,,,,3.6244666e-05,0.026651667,1.0565901,2,0.37067497,58000,2.2996218,0.6691185,7.518543861806392e-08,0.3675149430489112,1.2705569,,,,,,,,,
,,,,,7.580676e-05,0.034137066,1.0566901,2,0.3293226,59000,2.3944416,0.67922354,-4.474807064980268e-08,0.3887889724817063,2.3063393,,,,,,,,,
,,,,,0.00030201813,-0.031533703,1.0542184,2,0.44836867,60000,2.4026966,0.7907262,-2.3711356334388256e-08,0.32692257396723273,2.2478926,,,,,,,,,
,,,,,,,,,,,,,,,,-1.588056,0.1980312,12.560473,0.76672274,60000,-1.8655896,0.0,1.0442566,0.73437285
